a	b	c	d	e	f	g	h	i	j
1981	3.09	3.79	23.85	7.98	27.52	7.88	12.03	1.39	1.7	29.79
1982	10.44	14.16	1.62	3.67	1.24	11.17	11.4	2.81	3.74	19.54
1983	2.14	11.22	5.45	9.54	3.9	4.87	23.98	6.75	5.63	13.39
1984	3.18	2.19	5.01	2.4	5.88	13.49	15.57	25.95	31.19	31.1
1985	12.47	13.6	1.22	9.47	9.29	0.93	2.48	15.64	8.41	5.32
1986	4.2	1.61	1.51	12.78	1.9	15.15	8.04	4.82	13.22	3.03
1987	20.84	32.84	3.02	6.32	3.29	1.51	1.19	23.21	14.5	1.56
1988	5.94	13.96	1.02	6.63	1.14	7.31	0.88	17.6	7.78	9.71
1989	5.76	9.07	1.22	2.39	27.92	23.66	18.22	25.19	7.59	2.48
1990	17.39	22.61	19.1	1.82	23.61	4.17	6.35	3.39	18.87	26.33
1991	3.69	13.06	20.06	9.35	1.37	0.89	8.86	1.95	17.81	15.46
1992	1.52	16.69	1.21	10.34	24.01	3.24	13.88	0.9	1.28	1.37
1993	1.8	1.12	1.24	22.8	1.32	18.63	4.06	3.13	1.66	11.18
1994	17.44	2.86	6.65	20.9	24.96	2.61	22.79	13.02	2.8	12.75
1995	3.6	3.51	1.06	5.39	26.55	4.31	25.04	8.43	7.97	8.18
1996	15.63	17.79	0.95	12.31	9.75	10.08	1.67	13.31	1.97	10.6
1997	1.27	4.65	28.59	12.51	1.85	1.24	1.1	3.32	17.13	5.23
1998	2.53	1.85	8.95	1.45	4.09	1.58	17.42	26.64	2.95	3.48
1999	2.04	1.19	13.42	18.82	20.35	1.88	24.84	1.64	9.73	4.1
2000	3.48	19.61	27.99	8.73	1.02	2.42	24.43	26.01	1.79	22.08
